id,name,description,neighbourhood_cleansed,property_type,tags
2595,Skylit Midtown Castle,"Beautiful, spacious skylit studio in the heart of Midtown, Manhattan. <br /><br />STUNNING SKYLIT STUDIO / 1 BED + SINGLE / FULL BATH / FULL KITCHEN / FIREPLACE / CENTRALLY LOCATED / WiFi + APPLE TV / SHEETS + TOWELS<br /><br /><b>The space</b><br />- Spacious (500+ft²), immaculate and nicely furnished & designed studio.<br />- Tuck yourself into the ultra comfortable bed under the skylight. Fall in love with a myriad of bright lights in the city night sky. <br />- Single-sized bed/convertible floor mattress with luxury bedding (available upon request).<br />- Gorgeous pyramid skylight with amazing diffused natural light, stunning architectural details, soaring high vaulted ceilings, exposed brick, wood burning fireplace, floor seating area with natural zafu cushions, modern style mixed with eclectic art & antique treasures, large full bath, newly renovated kitchen, air conditioning/heat, high speed WiFi Internet, and Apple TV.<br />- Centrally located in the heart of Midtown Manhattan",Midtown,Entire apartment,"['Midtown, Manhattan', '1', 'Midtown Manhattan']"
3831.0,"Whole flr w/private bdrm, bath & kitchen(pls read)","Enjoy 500 s.f. top floor in 1899 brownstone, w/ wood & ceramic flooring throughout, roomy bdrm, & upgraded kitchen & bathroom.  This space is unique but one of the few legal AirBnbs with a totally private bedroom, private full bathroom and private eat-in kitchen, SO PLEASE READ ""THE SPACE"" CAREFULLY.  It's sunny & loaded with everything you need! Your floor, and the common staircase/hallway/entryway are cleaned/sanitized per Airbnb's Enhanced Cleaning Protocol.<br /><br /><b>The space</b><br />We host on the entire top floor of our double-duplex brownstone in Clinton Hill on Gates near Classon Avenue - (7 blocks to C train, 5 blocks to G train, minutes to downtown Brooklyn & lower Manhattan).  It is not an apartment in the traditional sense, it is more of an efficiency set-up and is TOTALLY LEGAL with all short-term rental laws. The top floor for our guests consists of a sizable bedroom, full bath and eat-in kitchen for your exclusive use - you get the amenities of a private apartment ",Bedford-Stuyvesant,Entire guest suite,"['Midtown, Manhattan', '1', 'Midtown Manhattan']"
5121.0,BlissArtsSpace!,"<b>The space</b><br />HELLO EVERYONE AND THANKS FOR VISITING BLISS ART SPACE! <br /><br />Thank you all for your support. I've traveled a lot in the last year few years, to the  U.K. Germany, Italy and France! Loved Paris, Berlin and Calabria! Highly recommend all these places. <br /><br /><br />One room available for rent in a 2 bedroom apt in Bklyn. We share a common space with kitchen. I am an artist(painter, filmmaker) and curator who is working in the film industry while I'm building my art event production businesses.<br /><br />Price above is nightly for one person. Monthly rates available.  Price is $900 per month for one person. Utilities not included, they are about 50 bucks, payable when the bill arrives mid month.<br /> <br />Couples rates are slightly more for monthly and 90$ per night short term. If you are a couple please Iet me know and I’ll give you the monthly rate for that. Room rental is on a temporary basis, perfect from 2- 6 months - no long term requests please! ",Bedford-Stuyvesant,Private room in apartment,"['500', '1899', 'AirBnbs', 'THE SPACE', 'Airbnb', 'Clinton Hill', 'Classon Avenue', '5', 'Brooklyn', 'Manhattan']"
5136.0,"Spacious Brooklyn Duplex, Patio + Garden","We welcome you to stay in our lovely 2 br duplex in South Slope, Brooklyn.  Our home is a truly spacious respite from the busy city- close to subways, restaurants, cafes and parks.  Enjoy a gourmet kitchen, patio, grill, backyard!<br /><br />We are open to a longer term rental / please contact me for your needs on a longer term rental ( few months etc).<br /><br /><b>The space</b><br />Sleeps 4 comfortably- king bed in master bedroom, 2 twin bunk beds in 2nd br.  We have a third bedroom that will be locked for storage. <br />We are located just steps from 5th Ave. restaurants, bars, coffeeshops, and shopping + 3 blocks from the R train, 15 min walk to Prospect Park.<br />Lower Manhattan is  a 15-20 min subway ride away.  Midtown/theater district 30-40 min subway<br /><br />Note:  This is our home, we live here with our two children and leave the condo clean.  Our belongings will remain in our house, and stowed away in closets / on shelves.  We will set aside room in closets and dresser",Sunset Park,Entire apartment,"['the last year few years', 'U.K.', 'Germany', 'Italy', 'France', 'Paris', 'Berlin', 'Calabria', '2', 'Bklyn', 'nightly', 'one', 'Monthly', '900', 'one', 'about 50 bucks', 'mid month.<br', 'monthly', '90', '$', 'monthly']"
5178.0,Large Furnished Room Near B'way　,"Please don’t expect the luxury here just a basic room in the center of Manhattan.<br /><br /><b>The space</b><br />You will use one large, furnished, private room of a two-bedroom apartment and share a bathroom with the host.  <br /><br />The apartment is located a few blocks away from Central Park between 8th and 9th Avenue.<br />The closest subway station is Columbus Circle 59th Street.  Great restaurants, Broadway and all transportation are easily accessible. <br /><br />The cost of the room is $79 per night.  Weekly rate is available.<br />There is a $12.00 fee per second guest. <br /><br />The apartment also features hardwood floors and a second-floor walk-up. <br />There is a full-sized bed,TV, microwave, and a small refrigerator as well as other appliances.  <br />Wired internet, WIFI, TV, electric heat, bed sheets and towels are included. <br /><br />A kitchen is not available in the living room. Please ask the host if you need.<br /><br />Basic check in/out time is 10 am. I am",Midtown,Private room in apartment,"['2', 'South Slope', 'Brooklyn', 'few months', '4', '2', 'third', '5th Ave', '3', '15 min', 'Prospect Park.<br', 'Manhattan', '15-20 min', '30-40 min', 'two']"
5203.0,Cozy Clean Guest Room - Family Apt,"Our best guests are seeking a safe, clean, spare room in a family apartment.  They are comfortable being independent, accommodating of family noise (quiet hours 11pm-7am), and aren't afraid of a friendly two year old golden lab (dog).  Our guests aren't put off by an old bathroom that while perfectly clean, has some peeling paint.  In short, our guests want to feel like they are staying at their sister's apartment while visiting the city! (only their sister changed the sheets and cleaned).<br /><br /><b>The space</b><br />Stay in my family's little  guest room and enjoy privacy, a warm welcome, and security. <br /><br />Your guest room is comfortable and clean.   It is small but well outfitted, has a single bed and a fabulous mattress which is firm and yet pillowy on top, all at the same time. The bathroom is shared and immediately across the hall. (""Shared"" in the sense it isn't ""en suite."" The family will use our second bath while you are staying with us). The bathroom is fully suppl",Upper West Side,Private room in apartment,"['two', 'Central Park', 'Columbus Circle 59th Street', 'Broadway', '79', 'Weekly', '12.00', 'second', 'second', '10 am']"
5803.0,"Lovely Room 1, Garden, Best Area, Legal rental","Discounted now!   Beautiful house, gorgeous garden, patio, cozy room, and helpful host!   Super safe and quiet in beautiful, vibrant Park Slope!  <br />Please read,  then WRITE to me about your  trip, and needs.  Please do NOT request reservation until I reply ""yes "".   I want to be sure it's right for you!<br />Close to great restaurants, culture, Prospect Park.  <br />3 minutes walk to 3 subway lines, 20 mins to Manhattan.<br />LEGAL rental -- per NY laws.  <br />Six gyms nearby.<br /><br /><b>The space</b><br />Welcome to an historic, stunning 4-story Brooklyn house, in super safe, quiet and friendly Park Slope.   140 year old house filled with light, color, artwork.  Large beautiful garden and patio.  Legal rental.  <br />Three excellent SUBWAY LINES (R, F, G)   2 minutes walk, 20 mins to Manhattan. <br />Please write to me with your details;   Wait til I reply ""yes"" before requesting room.<br />Discounts available for longer stay.<br />Historic house with charming details, not ""mo",South Slope,Private room in townhouse,"['two year old', 'second']"
6848.0,Only 2 stops to Manhattan studio,"Comfortable studio apartment with super comfortable king size bed and  full kitchen and bathroom located in FABULOUS Williamsburg, Brooklyn.<br /><br /><b>The space</b><br />Our comfortable 500 sq foot (46 sq m) studio apartment with full kitchen and bath is for short term rental. The apartment is private and is in a two family house. The house is located in FABULOUS Williamsburg, Brooklyn within 10 minute travel from Manhattan. The studio is a perfect place to stay for budget minded visitors of New York City!<br /><br />IN THE APARTMENT:<br /><br />Comfortable luxury king size bed, soft flannel bed linens, pillows, comforters, a couch with queen size pullout bed, air conditioning, hangers, iron & ironing board, alarm clock, radio, TV(No Cable/Satellite), DVD/VCR player, wireless internet access for guest's laptops, dining table, room divider/screen<br /><br />IN THE BATHROOM: <br /><br />Fluffy bath towels, hand towels, bath mat, wash cloths, toilet paper (initial supply), plunger/toi",Williamsburg,Entire apartment,"['Park Slope', 'Prospect Park', '3', '20 mins', 'NY', '4', 'Brooklyn', 'Park Slope', '140 year old', '2 minutes', '20 mins', 'Manhattan']"
6872.0,Uptown Sanctuary w/ Private Bath (Month to Month),"A charming month-to-month home away from home located in Historic Harlem, Uptown Sanctuary is ideal for lovers of travel, work-life balance, art, soulful living, and culture.<br /><br /><b>The space</b><br />Spacious, bedroom with private bathroom with its own ensuite bathroom available in a furnished 2B/2B co-op with hardwood floors and a private terrace. Located in an elevator building this unit gets heavenly light and the view from the eighth floor will not disappoint. <br /><br />This sweet Harlem sanctuary is a fifteen-minute train ride from downtown Manhattan and walking distance to transportation making this location close enough to work and a step away from the city buzz when it's time to decompress. 24-hour security guards, laundry and fitness center.<br /><br />This bedroom is ideal for a professional, independent female and sleeps up to three.  Weekend, weekday, one-month stays, events, meetings, and regular business travelers in need of a workspace. Be sure to inquire about",East Harlem,Private room in condominium,"['500 sq foot', '46 sq m', 'two', 'Williamsburg, Brooklyn', '10 minute', 'Manhattan', 'New York City!<br']"
6990.0,UES Beautiful Blue Room,"Beautiful peaceful healthy home<br /><br /><b>The space</b><br />Home is fun healthy. <br />Your Night’s Sleep: 100% cotton sheets and a fluffy down comforter.<br />Just pack your favorite comfy shoes and bring your empty suitcases to fill.<br /><br />The Blue room has a  twin bed built on the legs of a piano from the 1800's. There is a dresser and a nice size closet for all your clothes. Hairdryer, bedding and towels are provided in your room. The room is sound proof, no street noise, perfect for jet-lag recovery.<br />I feel that if my guests have a good nights sleep, they are full of energy for their adventures, then my guests are happy.<br /><br />The Common Space: approximately 500 square feet, features an Eat-in kitchen, living room and bathroom, to share. There is never more than 2 guests here at a time, this way there is enough space for each of us to get lost in, if we need too.<br /><br />WIFi, and Netflix,<br /><br />The home front is a work of art in constant change.<br /><",East Harlem,Private room in apartment,"['month', 'Historic Harlem', 'Uptown Sanctuary', 'eighth', 'Harlem', 'fifteen-minute', 'Manhattan', '24-hour', 'three', 'Weekend', 'weekday', 'one-month']"
